微博id,微博正文,原始图片url,发布位置,发布时间,发布工具,点赞数,转发数,评论数
LoiIk0DNV,#英语##小窍门# 之根据词缀猜单词拯救雅思阅读难点词汇。阅读文章词汇量大，臣妾做不到每个单词都认识。这时，除了根据上下文推理意思，还有啥办法？小编送锦囊一枚：通过前/后缀知晓单词意思！能帮助大家猜的八九不离十，其实词缀就像汉字偏旁部首，记住了它们很多词不再陌生你的阅读也就迎刃而解啦~记一记常见动词前缀小编的这个技巧是跟着线上雅思课程的老师学到的，除此之外还有更多小tips适合正在准备雅思或者想利用短时间提分的同学们，那今天就不藏着掖着，把这个强赞的课程推给大家网页链接                  原图                             ,http://wx1.sinaimg.cn/large/68ffa517gy1h18bvunlh2j20bf0e9gmm.jpg,无,2022-04-13 22:19,微博 weibo.com,2,2,1
LoioPCNvD,#英语# 在职场经常在邮件里或正式的文档看到Delegating一词，意思是授权、委派，作为团队或是公司领导，试图自己做所有事情不仅显示糟糕的领导能力，还可能导致过度劳累，压力很大。管理团队随时都会有新的责任和挑战，管理者需要学会尽可能多地委派。这意味着分担或转移你的一些责任，并信任其他人来完成你通常所做的一些工作。当你在考虑授权或委派工作时，先来阅读我们的文章吧，与你分享five tips on how you can delegate effectively. 网页链接1. Start with smaller tasks2. Delegate tasks that will develop your team members3. Delegate tasks to people who might like them4. Trust your team5. Offer support                  原图                             ,http://wx3.sinaimg.cn/large/68ffa517gy1h18c1kdllbj20j60cst9z.jpg,无,2022-04-13 21:31,微博 weibo.com,2,0,0
LoijXDdGg,#阅读###英国留学[超话]## 熟悉考试题型和考察的技巧很重要呢！阅读文章通常很长，短时间读完后去做题有点摸不着头脑。其实，雅思阅读题型多样但较固定，备考时善于总结常见题型，做针对性练习，事半功倍呦~主页菌为大家奉上提高阅读能力的小tips，一起来看 网页链接  原图 ,http://wx3.sinaimg.cn/large/68ffa517gy1h18c0u9wy4j20j60ncjt1.jpg,无,2022-04-13 21:19,微博 weibo.com,1,1,1
Loi0tEV0x,"#英语# #健身# 瑜伽已经成为我们日常的健身运动之一，练瑜伽对身体、健康带来哪些好处，比如：reducing stress, building strength improving fitness and stamina. 瑜伽有哪些类别和派系呢？今晚给大家带来一片短文，喜欢阅读的朋友们点击下方链接网页链接  原图 ",http://wx1.sinaimg.cn/large/68ffa517gy1h18c52oysxj20k30degmg.jpg,无,2022-04-13 20:31,微博 weibo.com,1,0,0
Lo8UGr53T,"#英语# #雅思# gonna wanna gotta..这些词你一定不陌生，天天在说在用,可你知道他们的意思吗？其实，这些词都用起源于美国的日常用语，而拼写方式则是来自网络聊天室，目的是便于发音，以及打字方便。戳图看看还有，注意啊，这些词多用于日常生活中朋友之间对话，正式场合或正式写作中表用哦~  原图 ",http://wx2.sinaimg.cn/large/68ffa517gy1h1771668xij20ax0eqab1.jpg,无,2022-04-12 21:22,微博 weibo.com,2,1,0
Lo8RQnEhl,#英语# #雅思# 今天的Quiz你知道答案是什么嘛？这道题可能非常值得讨论，快给主页君留言！你能完美解释你的答案吗？这里有解析哦网页链接  原图 ,http://wx2.sinaimg.cn/large/68ffa517gy1h176zsgbvlj20e00e0myl.jpg,无,2022-04-12 21:15,微博 weibo.com,1,1,1
Lo8tuoEJK,#英语## Grammar A-Z之 1: 形容词&介词。有些形容词跟着特定的介词，你必须在遇到这类搭配的时候学习它们。这些看似简单但是实际使用之中只要错一点意思可能会大相径庭。今天我们就学一学Adjectives and prepositions--形容词&介词，有些固定搭配还是有规律可言的呢，比如说我们经常用到的表达心里活动的形容词，形容词后面一般跟介词about，例如angry about ，nervous about ，或者是excited about。除了这个规律还有哪些呢？一起来看 网页链接小编今天给大家带来的问题是：除了链接中介绍的4个形容词+of的短语，你还能想出另外3个嘛？                  原图                             ,http://wx1.sinaimg.cn/large/68ffa517gy1h176xbubv3j20j60cst9z.jpg,无,2022-04-12 20:15,微博 weibo.com,1,2,0
LnZy9cLNE,"#英语# 雅思不仅仅是出国留学的敲门砖，在国内院校同样有非常多的用途，用雅思成绩为自己加”buff”。""EnglishScore Tutor#为你量身订制的雅思备考学习计划，专家辅导1V1，看得到的学习成果。网页链接  LearnEnglish的微博视频  ",无,无,2022-04-11 21:31,微博视频号,2,1,1
LnZjNrWXI,#英语#今天我们的John老师为你解答 I'm back to the UK. 这句话为什么是错的。网页链接  LearnEnglish的微博视频  ,无,无,2022-04-11 20:56,微博视频号,0,2,1
Lnoh3elOn,#雅思# #英语#【What to say】第二期：如何让别人重复刚刚说过的话，而且不说Pardon！网页链接听不清听不懂别人说了什么–是英语对话的时候最最常见的情形了。没听清或没听懂不是什么不好意思开口的事儿，大大方方用正宗的英语询问就好了，千万别胡猜对方的意思哦。 LearnEnglish的微博视频                                 ,无,无,2022-04-07 22:38,微博视频号,6,3,0
LnnQFqUQS,#雅思##英语# It's quiz time! 大家的这个月过的怎么样呢，据说Tim的这个月过的有点抑郁？一起完成这道题吧？快快把你的答案写在评论区吧 。更多实用俚语，戳链接学习吧网页链接  原图 ,http://wx3.sinaimg.cn/large/68ffa517gy1h11fe6723vj20em0emgmq.jpg,无,2022-04-07 21:33,微博 weibo.com,1,0,1
LnnP3ciDE,"#英语# 今天的视频带大朋友及小朋友来看看牛顿的学霸养成记，牛顿小时候其实学习一般，但他热衷于发明创造，对数学和天文学都很感兴趣，想知道他长大了如何逆袭成为学霸，快来下载LEarnEnglish Kids: Playtime app, 苹果手机用户在app store直接搜索免费下载网页链接 LearnEnglish的微博视频  ",无,无,2022-04-07 21:29,微博视频号,1,1,0
Lnev39Z7x,"#英语# #雅思托福口语精华# 如何用英语指导别人做一件事，且高效！！泰晤士提供了专家的意见，其中一条很重要，“Pause after giving an instruction because you need to let their brain process and apply it. Ask them to repeat it, which helps their brain to process it.” 你可以利用口语给别人giving insturctions吗？今天看看Vanya如何用地道英语帮助Emir使用咖啡机，看完了还有课后习题帮助你更好理解这段纯正英音的对话哦！原文链接👉网页链接 LearnEnglish的微博视频                                 ",无,无,2022-04-06 21:45,微博视频号,2,1,1
LnelI2oUT,今天给大家推荐一个利用好碎片时间加强练习增加词汇量是一个好方法，就是玩一玩Johnny Grammar’s Word Challenge游戏app。快来一起下载吧👉网页链接简单说此APP主要关注语法、词汇和拼写，鼓励你在60秒的时间答题，在答题的过程中通过语境和例句学单词/语法且加强记忆。三类小测试：单词、语法和拼写，适合不同需求三种难度的练习题库：简单，中等，偏南，适合不同英语水平十个常见话题：食物，餐厅，旅行，日常聊天，兴趣爱好等十二种语法类型：介词，连词，不规则动词                  原图                             ,http://wx2.sinaimg.cn/large/68ffa517gy1h1098mqowpj20em0emabq.jpg,无,2022-04-06 21:22,微博 weibo.com,0,1,0
LndXm1eDL,#全球疫情# #英语# 18世纪英国文学家塞缪尔.约翰逊在朋友劝他少喝点酒时这样回答对方：“我可没办法少喝酒哦，因此，唯一能做到的就是绝对不碰它。对在英国的小伙伴来说，少喝酒有点困难 Stephen与Ashlie相约一些朋友们外出。虽然现在我们还不能出门，但大家可以先学习一下，在英国如何点酒？一起看看视频，他们都点了哪几种酒？评论告诉小编答案哦！链接在此网页链接                  原图                             ,http://wx2.sinaimg.cn/large/68ffa517gy1h1096yt6brj20bx06pjrp.jpg,无,2022-04-06 20:22,微博 weibo.com,1,0,0
LnaZTAe1x,"#英国# #不可辜负的美食## 来看看来自英国朋友们的早餐都有哪些？Brown Soda Bread又是啥？小编列好了清单，明早安排吧！一位在意大利居住的英国吃货写了篇The myth of the English breakfast 告诉你英式早餐的真相网页链接-Full English breakfast: Black pudding (sausage), baked beans, bubble and squeak (potatoes and cabbage), and fried bread 传统意义的英式早餐包括煎蛋，培根，蘑菇，西红柿，面包。偶尔还会配土豆饼。好大一盘如此丰盛，真是早餐中的战斗餐！-Cereal-Toast and English breakfast tea LearnEnglish的微博视频                                 ",无,无,2022-04-06 12:50,微博视频号,5,4,1
LmkckzUVC,"#英语# #少儿# 小盆友们也需要解压小妙招吗？当然，一起看Tim的小故事。主人公Tim的快乐星球原来是桌前的一张照片，他说当他心情blue的时候，就会拿出来这张照片。看完后心情大好！这是因为他的快乐星球都在这张照片里面Janet坐在垃圾箱里，Jeff在床下，头顶苹果的是Laila......in front of, behind, on, under 和Tim认识他的好朋友，同时一起学习介词吧网页链接 LearnEnglish的微博视频                                 ",无,无,2022-03-31 22:25,微博视频号,1,1,0
LmjNWz2Ty,#面试# #求职# 季， 你准备好你的CV了吗？有时候在我们申请工作的时候常常会要求我们提交CV或者resume，大家知道这两者之间的区别吗？小伙伴们可能认为这两个都是同一个东东，nonono，今天和我们的老师一起了解下这两个之间的细微差异吧！帮助大家顺利找到满意的工作。网页链接Do you have a CV in English? Are you happy with it or do you think it could be improved? Check out the really useful and practical advice in our Business Magazine so you can have the best CV possible!                  原图                             ,http://wx1.sinaimg.cn/large/68ffa517gy1h0td9p5qvbj20xb0indho.jpg,无,2022-03-31 21:25,微博 weibo.com,1,0,1
LmjIgigJl,"#英语#  #口语# Quiz time！ 一起来猜猜这个口语常用词语是什么意思吧？网页链接A: Have you got your tickets for the big concert next week?B: No, I missed the boat. I'm so annoyed!小伙伴心里有答案了吗？miss the boat是什么意思呢？快快告诉小编！ 更多英语知识看这里喔网页链接                  原图                             ",http://wx3.sinaimg.cn/large/68ffa517gy1h0td7xuw3qj20i70a8my0.jpg,无,2022-03-31 21:11,微博 weibo.com,0,0,0
LmaXaloZ4,今天给大家推荐一个利用好碎片时间加强练习增加词汇量是一个好方法，就是玩一玩Johnny Grammar’s Word Challenge游戏app。快来一起下载吧👉网页链接简单说此APP主要关注语法、词汇和拼写，鼓励你在60秒的时间答题，在答题的过程中通过语境和例句学单词/语法且加强记忆。三类小测试：单词、语法和拼写，适合不同需求三种难度的练习题库：简单，中等，偏南，适合不同英语水平十个常见话题：食物，餐厅，旅行，日常聊天，兴趣爱好等十二种语法类型：介词，连词，不规则动词                  原图                             ,http://wx3.sinaimg.cn/large/68ffa517gy1h0rxleovbtj20em0emabq.jpg,无,2022-03-30 22:53,微博 weibo.com,3,4,1
LmayP4F7a,#睡前故事# #少儿# #少儿美术# 今天为大家讲述的是Eric小火车的故事，Eric是个小火车，有一天他开开心心的在铁路上行驶，发现轨上有一块大石，而伦敦的火车快要到站了！Eric和他的朋友可以及时将它移走吗？看看这故事就知道。想看原版视频，玩在线小游戏，做课后习题，看这里哦网页链接 LearnEnglish的微博视频                                 ,无,无,2022-03-30 21:53,微博视频号,1,1,0
Lmaat5GCj,#英语##雅思#雅思口语备考学习无论是冲6.5，还是7，最终还是要检验沟通和表达的能力，掌握口语训练方法和答题技巧，考试形式和评分标准。点击链接，登录Understanding IELTS 课程，网页链接 LearnEnglish的微博视频  ,无,无,2022-03-30 20:53,微博视频号,1,1,1
Lm9UDasc1,#英语# #雅思# 如何让工作生活平衡？小编帮大家总结了两点，说不定能给大家一些启发。原文在这里，看看‘平衡’大师们都是怎样生活的网页链接1. 多一些思维角度思考生活本身，因为生活本身是多方面的，不仅仅柴米油盐，身体层面，还有智识、情感、精神等，需要多方面思考2. 微小的事情也很重要。平衡并不意味着需要大刀阔斧地去改变，而是在不同层面采取一些重要的有价值的小小的改变，从而影响全局                  原图                             ,http://wx2.sinaimg.cn/large/68ffa517gy1h0rxg7xsfdj20ku0dw0th.jpg,无,2022-03-30 20:14,微博 weibo.com,1,1,0
LlSp9Er2L,#英语##雅思##英语##全球疫情##手机# Tim这几天身体不舒服，除了眼花不说，几个手指关节也很疼。经过一番 “问诊”，作出的诊断是 Tim 患上了网瘾，开出了一个简单的治疗方案叫做digital detox，但这个排毒与食物并没有关系。本集节目讲解 “digital detox” 这个非常现代的表达。在手机上进行简单的设定，就可以减轻网瘾。利用手机app设定倒计时，时间自己定，这段时间内手机只能接电话和拍照片，通知在这期间也被关闭，好让机主放下手机，专心做别的事情。digital detox对人们生活原来有不少益处，如果你做任何事情都放不下手机的话，不妨听听这段原音，相信一定会有收获！戳链接锻炼听力吧 网页链接                  原图                             ,http://wx3.sinaimg.cn/large/68ffa517ly1h0q0vmcgxyj22c03407wi.jpg,无,2022-03-28 23:39,iPhone客户端,1,0,0
LlSmWd4Zt,#英语##生活的模样# 大家知道尼斯湖水怪的秘密吗？今天我们一起看看这个藏在苏格兰的深邃淡水湖中的怪奇生物吧！ #儿童睡前故事 #看动画学英语 #幼儿故事还有更多有趣的绘本故事，每晚都给宝贝们看看吧！下载方法：1.苹果用户可在app store🔍British Council：Playtime，get宝藏app！ 2.点击链接后网页链接，页面点击右上角三个点———选择浏览器打开，即可直接跳转到app store页面，你学废了么？ LearnEnglish的微博视频                                 ,无,无,2022-03-28 23:34,iPhone客户端,2,1,1
LlpTIbd4l,#英语# 跟随我们的Mini Class的老师学习英语俚语English idioms，学地道英语，点击网页链接 LearnEnglish的微博视频  ,无,无,2022-03-25 23:05,微博视频号,1,1,2
LleIQFCip,#英语# 春寒料峭，乍暖还寒的日子，小伙伴们前两天刚脱下的秋裤是否又穿上了呢？俗话说春捂秋冻，该多穿点还是要多穿点。今天我们的John老师就想跟大家聊聊多穿点，英文怎么说？网页链接 LearnEnglish的微博视频  ,无,无,2022-03-24 18:38,微博视频号,1,0,0
LkXlqh9BV,#雅思##英语# get一点点英语升级技巧 It's quiz time! 英国俚语知多少？一起来做做这道题吧！You're car is sick. 这句话是什么意思呢？猜猜看更多实用俚语，戳链接学习吧?网页链接  原图 ,http://wx4.sinaimg.cn/large/68ffa517gy1h0itztd5pcj20em0emgn4.jpg,无,2022-03-22 22:24,微博 weibo.com,3,1,2
LkWan2s9b,#英语# #儿童# 艾薇巴蒂，今天小编给大家带来感人的好消息！给大家墙裂推荐少儿英语故事系列，今天就让辣妈萌爸们给娃们讲一讲这个有趣好玩的【少儿英语故事】，今天我们要听的故事叫做⭐【Goldilocks and the three bears-金发姑娘和三只熊】网页链接这些好玩的内容只是我们LearnEnglish Kids网站上非常小的一部分，家长们快快通过这难得的时期陪自己的孩子学习英语吧！戳链接看更多有趣的内容吧 LearnEnglish的微博视频                                 ,无,无,2022-03-22 19:24,微博视频号,4,0,0
LkVKGBNzo,#英语##学习打卡# 你知道英式表达和美式表达有什么微妙的不同之处嘛？今天我们来看看词汇篇，下面这个视频好好学习下~🍆茄子 英式aubergine 美式eggplant🍪饼干 英式 biscuits 美式 cookies🍟薯条 英式 chips 美式 french fries不过请放心，在雅思考试中两种表达法都可以通用呢。还有哪些英美差异你需要知道的呢，这篇文章给你总结全了网页链接 LearnEnglish的微博视频                                 ,无,无,2022-03-22 18:20,iPhone客户端,1,2,0
LkVHytyte,#英语##涨知识# 猜猜你对莎士比亚有多了解？当年，莎士比亚的降生让老父亲充满欣喜和期待，那你知道莎士比亚的父亲原来是做什么的吗？His father was: (a) a shoemaker. (b) a bricklayer. (c) a glove maker. 了解更多莎翁不为人知的小秘密，开启7天免费课程: 网页链接  LearnEnglish的微博视频                                 ,无,无,2022-03-22 18:13,iPhone客户端,0,1,0
LkNkoyNeJ,#英语##雅思# 如果在雅思口语考试中，考官问你这些问题，你会怎么说？网页链接 LearnEnglish的微博视频  ,无,无,2022-03-21 20:54,微博视频号,0,2,0
LkNiLbwK7,"#英语##亲子英语#今天我们的英语睡前故事是Record breakers, 你有没有尝试过挑战并打破世界纪录，故事里的小女孩就尝试了很多有趣的运动项目，她最后成功了吗？网页链接 LearnEnglish的微博视频  ",无,无,2022-03-21 20:49,微博视频号,3,0,0
LkNgrg6qk,#英语# 通过探索莎士比亚的一生及剧作学习提高英语技巧。我们的MOOC 课程:Exploring Shakespeare将带大家探讨莎翁的剧作包括：Romeo and JulietHamletMuch Ado About NothingThe TempestMacbeth网页链接  原图 ,http://wx4.sinaimg.cn/large/68ffa517ly1h0hsgvfjomj20ch07udge.jpg,无,2022-03-21 20:44,微博 weibo.com,2,1,0
LkD0Scd6T,#英语#你知道牛仔裤的这个小裤兜是装什么用的？更多有关衣服的英语用语点击：网页链接  原图 ,http://wx2.sinaimg.cn/large/68ffa517ly1h0gj5hu6mdj20h40fbabn.jpg,无,2022-03-20 18:38,微博 weibo.com,1,1,3
LkkH0as4P,#英语# 无论是在海外留学还是旅游时，难免会有头疼脑热或是小意外发生，严重时就要去医院。有关健康、生病、看病的相关词汇你都掌握吗？今天咱们就查缺补漏，下面4个类别的单词都在链接里，赶快看一下吧！网页链接  原图 ,http://wx2.sinaimg.cn/large/68ffa517ly1h0ea5cihqtj20h10h0wgx.jpg,无,2022-03-18 20:00,微博 weibo.com,1,1,0
LkkC9nUB5,#英国# 谁说英国都是黑暗料理？英国人早餐都吃什么呢？了解英国文化，并学习提高英语听力和口语技巧。点击链接登录Exploring English food and culture课程吧。网页链接 LearnEnglish的微博视频  ,无,无,2022-03-18 19:48,微博视频号,1,6,2
LkbvK1W0b,#英语# 掌握地道的英语表达，才能提高真实交际环境中的口语水平。#EnglishScore Tutors# 在线1V1外教辅导课程合适你各种学习需求，日常口语、备考、找工作面试，老师都可以帮助你制定进阶方案并提供实时反馈。网页链接 LearnEnglish的微博视频  ,无,无,2022-03-17 20:37,微博视频号,0,0,0
Lkbt8D7O5,"#英语##英文邮件##商务英语# 在工作中你是否经常在写英文邮件时花很多时间，尤其在内容结构、措辞、格式上。今天就分享一些写邮件的tips, 有如何感谢同事在项目上的帮助和支持。更多tips参考：网页链接  原图 ",http://wx1.sinaimg.cn/large/68ffa517ly1h0d5lwm6wgj20ei0hxmz8.jpg,无,2022-03-17 20:31,微博 weibo.com,4,1,0
Lkbpgp6Os,#英语#提高英语语法使用的正确性只有多多练习。今天的练习开始了，你的答案什么？网页链接  原图 ,http://wx1.sinaimg.cn/large/68ffa517ly1h0d55vj4ahj20i30h2wgn.jpg,无,2022-03-17 20:21,微博 weibo.com,0,0,2
Lk2WbwtvL,#面试# #求职#季， 你准备好你的CV了吗？有时候在我们申请工作的时候常常会要求我们提交CV或者resume，大家知道这两者之间的区别吗？小伙伴们可能认为这两个都是同一个东东，nono，今天和我们的老师一起了解下这两个之间的细微差异吧！帮助大家顺利找到满意的工作。网页链接Do you have a CV in English? Are you happy with it or do you think it could be improved? Check out the really useful and practical advice in our Business Magazine so you can have the best CV possible!                  原图                             ,http://wx2.sinaimg.cn/large/68ffa517gy1h0c0a7zfv0j20e80hsq4q.jpg,无,2022-03-16 22:48,微博 weibo.com,0,1,0
Lk2xPxvdk,#英语# ##英语[超话]# 坐在身旁的小伙伴提问：你知道go to school和go to the school这俩意思分别是什么嘛？啊？还有区别吗？区别大了。完整例子看这里哦网页链接其实问题出在了中西文化差异，我们中国人喜欢说【去医院，表达看病】，但歪果仁更习惯说【看医生】，sogo to school 去看病go to the school 去医院，仅表示你要去这个地点而已📕简答一招，如果加the，就表示去某个特定地方；不加the表示抽象意义。大家学会了吗？                  原图                             ,http://wx3.sinaimg.cn/large/68ffa517gy1h0c0b2oso9j20ku0dw0th.jpg,无,2022-03-16 21:48,微博 weibo.com,0,1,3
Lk2uAguPf,#雅思# may or might?英语学习中，除了掌握大量语法规则，还需在具体应用中体会词与词，句子间的微妙差异以区分不同情况下的使用方法。比如在多数情况下可互换的Might与May，这两个词还是有区别的你知道吗？其实，有客观依据的或符合常识规律，又或真心期望的情况多用May，而might多用在不确定的情景下。这两个词在句子句子之中的读音也略有不同，一起完成这道课后习题吧网页链接                  原图                             ,http://wx1.sinaimg.cn/large/68ffa517gy1h0c0bzgfxpj20iw0cnwgh.jpg,无,2022-03-16 21:40,微博 weibo.com,1,1,0
Lk29twkfV,#雅思托福口语精华# #口语## 考前tip帮你完美避坑：以下是常见词汇英式和美式的不同拼写，外国朋友都能读懂，不影响表意，因此在#雅思#考试中都是适用的哦。不过规范起见，建议大家统一选择一个国家的拼写习惯，不要混在一起，这点在将来写paper的时候也是要注意哒，从现在开始打好基础吧！ 网页链接                  原图                             ,http://wx1.sinaimg.cn/large/68ffa517gy1h0c09hx55gj20j60j6766.jpg,无,2022-03-16 20:48,微博 weibo.com,1,1,0
LjSqftTyH,#雅思托福口语精华###英语# 常听人说“我emo了”，最近大火的emo到底是什么？emo作为一种亚文化元素被抖音平台博主带火，专门用来形容一种抑郁、低沉、丧的状态。来这里学习哦网页链接别再千篇一律地说Emo了，来看看“情绪低沉”还有哪些地道的英语表达：black mood 极度生气或低落down in the dumps 垂头丧气down in the mouth 闷闷不乐gloomy 忧郁的；沮丧的；无望的                  原图                             ,http://wx2.sinaimg.cn/large/68ffa517ly1h0atix77xcj21900u00ww.jpg,无,2022-03-15 20:01,iPhone客户端,0,1,1
LjSpQmVCk,#1分钟英语小知识# 今日和娃一起来补习这个知识吧！网页链接各个时间、日期前面的介词使用大法总结：1、in+时间段（一段时间），比如说早晨，中午还有季节，月份等等。2、at+具体时间点（几点，时刻）3、on+具体的日期（某月几号，星期几，节日）   原图 ,http://wx3.sinaimg.cn/large/68ffa517ly1h0athvd8w0j20e80hsmxo.jpg,无,2022-03-15 20:00,iPhone客户端,1,1,0
LjSoWtN1o,#教师#【教师Mooc】英语教师线上提升课程乘风而来！看看这些优秀的教案是如何引起学生怒赞的，教师英语在线免费课程包含三门课程，您可掌握优化课程计划的小技巧，了解课堂与学生进行有效互动的途径，以及认识在新环境下对英语教学的新变化，通过以上三大内容为您的教学经历带来积极影响。话不多说，链接奉上，前七天免费哦网页链接                  原图                             ,http://wx3.sinaimg.cn/large/68ffa517ly1h0atfkjb74j20f00f0myy.jpg,无,2022-03-15 19:58,iPhone客户端,0,2,1
LjIMjlI23,#英语# 你知道那些极限运动项目英语都怎么说吗？看看Buzz and Bob在冒险营地都参加了哪些极限运动：ride BMX bikesgo rock climbinggo raftinggo cavinggo surfinggo parachutingbungee jump网页链接 LearnEnglish的微博视频  ,无,无,2022-03-14 19:28,微博视频号,3,2,0
LjIHrhJRo,#英语# 我们的John老师在新疆阿尔泰滑雪场问候大家，他解释了GOAT的用法，Goat是山羊的意思，但如果都是大写的GOAT是什么意思呢？网页链接 LearnEnglish的微博视频  ,无,无,2022-03-14 19:16,微博视频号,0,0,0
LjIzi3GCF,"#英语# 跟随Ashlie and Stephen去神秘的谋杀现场破案，就想Ashile说的:like my hero, the world’s most famous detective, Sherlock Holmes. I’m going to solve the mystery in record time and find out who the killer is.虽然他俩跌跌撞撞，状况百出但还是第一个找到了the first clue. 网页链接 LearnEnglish的微博视频                                 ",无,无,2022-03-14 18:56,微博视频号,0,2,0
LjhQ9bPBQ,#英语# #英语口语# 当我们在跟native speaker用英语交流或是考试时，最怕的就是表达时中间停顿，卡壳，犹豫不定，这样不仅影响接下来要表达的语句，还会打击自信心。British Council的EnglishScore Tutor雅思个人在线辅导课程的Jennifer老师给出了建议：网页链接1. Do not worry2. Don't think too much about your answer3. Slow down and take your time4. Practice5. Ask a tutor where you can improve点击EnglishScore Tutor网站，与Jennifer老师面对面练习网页链接 LearnEnglish的微博视频                                 ,无,无,2022-03-11 22:54,微博视频号,0,0,0
