微博id,微博正文,原始图片url,发布位置,发布时间,发布工具,点赞数,转发数,评论数
KtTEawVrb,#2021留英行前会#别错过最后的行前答疑！2021留英出发前最后一场线上直播开放报名啦！没能参与线下行前会的小伙伴们别担心，线上直播加场依旧干货！我们将邀请正在英国就读的学长学姐，手把手帮你做最全面的行前准备。不限人数，我们与你不见不散快速报名通道：网页链接  [组图共9张] 原图 ,"http://ww3.sinaimg.cn/large/001OtD0Ogy1gtjz48fw4ej60u02n5k9902.jpg,http://ww4.sinaimg.cn/large/001OtD0Ogy1gtjyx2lj3bj60u020h7i502.jpg,http://ww4.sinaimg.cn/large/001OtD0Ogy1gtjyxdy817j60u01agq9q02.jpg,http://ww3.sinaimg.cn/large/001OtD0Ogy1gtjyxeplabj60u014pgrj02.jpg,http://ww1.sinaimg.cn/large/001OtD0Ogy1gtjyxfefapj60u016bdmz02.jpg,http://ww2.sinaimg.cn/large/001OtD0Ogy1gtjyxerkg6j60u015k45t02.jpg,http://ww1.sinaimg.cn/large/001OtD0Ogy1gtjyxehataj60u014twjc02.jpg,http://ww3.sinaimg.cn/large/001OtD0Ogy1gtjyxdqi9hj60u01r2dof02.jpg,http://ww1.sinaimg.cn/large/001OtD0Ogy1gtjyxhw9yqj60u01w8qfj02.jpg",无,2021-08-17 18:47,微博 weibo.com,10,11,4
KtKSEg4Lp,#留英树洞#到英国后，你第一个想要打卡的地方是哪里？  [组图共4张] 原图 ,"http://ww2.sinaimg.cn/large/001OtD0Ogy1gtivu0duqjj60sg11xwkk02.jpg,http://ww2.sinaimg.cn/large/001OtD0Ogy1gtivu0ya0aj60sg0lctg202.jpg,http://ww2.sinaimg.cn/large/001OtD0Ogy1gtivu2xca5j60u019bqd402.jpg,http://ww2.sinaimg.cn/large/001OtD0Ogy1gtivu2o2bgj61400u0nbl02.jpg",无,2021-08-16 20:28,微博 weibo.com,2,0,5
KthIXo3YK,#留英新生季#唯有爱与音乐不可辜负！来到热爱当代古典音乐的英国后，听一场音乐会吧🎼和大家印象中庄严肃穆的印象不同，在英国，古典音乐会对观众的“要求”相当宽松，无需遵循什么繁文缛节，只需要放松下来，享受一个美好的夜晚即可~ 以下几个Tips，能帮你更好地享受古典音乐带来的乐趣哦1、应当如何选择演出？英国汇聚了世界上的乐队和音乐家，比较知名的包括但不限于伦敦交响乐团（London Symphony Orchestra）、BBC威尔士国立交响乐团（BBC National Orchestra of Wales）、伯明翰市立交响乐团（City of Birmingham Symphony Orchestra）等，你可以在乐团官网上查询演出信息，包括时间、地点和曲目，也可以在购票平台上挑选自己感兴趣的演出。2、应当如何着装？绝大部分表演场所的dress code针对的都是演出者，对于普通观众而言没有特定的着装要求。能够穿去逛街的衣服，绝大部分也都能穿到音乐厅里去。但是要注意，最好不要佩戴容易发出声响的饰品。3、有没有特定的举止礼仪？除了基本的得体、礼貌之外，古典音乐会的观众并不需要遵守比电影院更多的礼仪守则。一些基本的礼仪包括，演出前按时到场、对号入座；在演出过程中不要接打电话或发出声响；演出结束后报以掌声等。                  原图                             ,http://wx4.sinaimg.cn/large/001OtD0Ogy1gtf956px55j60jp0cuq5t02.jpg,无,2021-08-13 18:15,微博 weibo.com,3,3,1
KtelUA4bC,#留英新生季#【行前准备：这几件事，帮你快速适应校园】临近出发，你有没有在期待留英生活的同时，担心是否能快速融入校园呢？在异乡的归属感，来自于身边的朋友圈、可口的家乡菜，也来自于大家对生活方式的掌控！@英国斯特灵大学 要给大家几个实用建议，帮你首先在心态上做好行前准备~ 留英行前准备：这几件事情，帮你快速适应校园                                 ,无,无,2021-08-13 09:40,微博 weibo.com,7,5,2
Kt8sg411c,"#留英新生季#对于留英学生党而言，乘坐火车不仅是经济方便的出行方式，更是欣赏风光、领略文化的大好机会和国内不同，英国的铁路线路分属几十家不同的国营或私营企业来运营。大家坐车时除了要看清目的地，还一定要看清是不是正确的火车公司哦！如果买了A公司的票却上了B公司的车，有可能就需要另外补票了，超肉疼[苦涩]下面给大家介绍几个主要的铁路线路和运营公司~1、Cross Country, 运营商Arriva UK Trains, 顾名思义，Cross Country运营的线路遍布全英各地，有自己的APP可供下载，非常实用。2、East Midlands Railway, 运营商Abellio，主要覆盖英格兰中东部的主要城市，包括不少英国名校的所在地，比如谢菲尔德、莱斯特、曼彻斯特等地。3、Great Western Railway，运营商First Group，主要覆盖英格兰东南部、英格兰西南部、南威尔士等地。是不少在威尔士上学的小伙伴们去伦敦旅行的选择。4、Abellio ScotRail, 运营商Abellio, 主要覆盖苏格兰地区的主要城市，如爱丁堡、格拉斯哥、阿伯丁等。                  原图                             ",http://wx3.sinaimg.cn/large/001OtD0Ogy1gte6u32uuuj60d60cm75902.jpg,无,2021-08-12 18:39,微博 weibo.com,3,0,1
KsYnxj5eJ,#英国留学官方指南##UCAS本科补录#英国本科补录正在进行中！什么是补录？国际学生能否参加补录？想读全英前列的商科、设计、人工智能能优势专业，还有哪里有席位？一起来看看@伦敦布鲁内尔大学 正在开放的补录专业！争取入学王牌专业的机会，一定要接好啦文末有明天线上答疑会的参与方式哦~ 2021英国大学补录开启，还不快抓紧最后时间抢占名校席位！                                 ,无,无,2021-08-11 17:00,微博 weibo.com,6,3,1
KsPOkjGHw,#留英干货##留英新生季#这六种超棒又免费的英国历史文化体验方式，推荐给要来英国，以及在英国的所有人！认识一个真实英国的好方法，🈶！转发收藏起来挨个试试 码！来英国后，六个好方法让你免费深度体验英式文化  ,无,无,2021-08-10 19:11,微博 weibo.com,5,4,1
KsHyNa3WW,#留英新生季#offer在手，你有没有开始畅想在英国大学里的学习生活~泡在氛围感十足的学校、城市图书馆里学习，是一种什么样的体验呢你期待中的大学图书馆是什么样子呢？  [组图共6张] 原图 ,"http://ww4.sinaimg.cn/large/631046e6gy1gtaw5j138lj21400u0gtw.jpg,http://ww4.sinaimg.cn/large/631046e6gy1gtaw5qfylrj21au0u0na2.jpg,http://ww3.sinaimg.cn/large/631046e6gy1gtaw5yo9erj21900u0gye.jpg,http://ww3.sinaimg.cn/large/631046e6gy1gtaw5x4zd5j21900u0tnv.jpg,http://ww4.sinaimg.cn/large/631046e6gy1gtaw58ca28j21400u0wri.jpg,http://ww1.sinaimg.cn/large/631046e6gy1gtaw5ria55j211g0oy11p.jpg",无,2021-08-09 22:11,微博 weibo.com,9,2,0
KsCMbz95c,#英国择校指南#在剑桥这样的城市里留学，到底“有什么好”？在诗里的康桥美景和学霸之城这样的滤镜之下，选择到剑桥学习的同时更重要的是同时选择了一种英式学习生活方式和未来保障。@英国安格利亚鲁斯金大学 的剑桥校区就是以这样的思路，结合剑桥的学术与行业优势，为学生提供高品质学习体验。 去掉滤镜，说说剑桥这座城给中国学生带来的真正优势                                 ,无,无,2021-08-09 10:00,微博 weibo.com,9,0,2
KswSKn0T1,#OnMyWay# 英国留学将带给你怎样的文化体验？留英学姐给你答案：“在英国求学最重要的经历之一，是和来自世界各地的同学成为朋友。理解不同的文化如此重要，它给你带来一种全球视野。”在英国，有数不清的方式让你享受留学生活，开拓视野，这是一份独一无二的成长之旅。点击 网页链接 查看更多信息。 英国教育官方微博的微博视频                                 ,无,无,2021-08-08 19:00,微博视频号,21,4,2
KswlP7ACK,#OnMyWay# 在英国攻读博士学位是一种怎样的体验？听听在读学长怎么说！英国是全球科研强国，是渴望投身研究的学子们的理想留学地。全球顶尖的科研环境和资源，是英国教育给未来的科研学者们的最佳支持。点击 网页链接 查看更多信息  英国教育官方微博的微博视频  ,无,无,2021-08-08 17:38,微博视频号,23,7,1
KstmLv56m,#英国大学补录#还没拿到本科offer，想通过补录(Clearing)抢占名校席位？在这个本科申请的关键环节，大家不妨转换思路，从英国享誉世界的王牌学科入手，找到最适合自己的专业养成路径！@英国格鲁斯特大学UoG 还为大家提供了三条重要小贴士，让你面对补录抢位不要慌，提高申请的成功几率！ 2021英国大学补录抢位中！马上收藏获取牛校补录的必备小贴士                                 ,无,无,2021-08-08 10:03,微博 weibo.com,5,5,1
Ksnsfyaa8,#OnMyWay#  英国教育将如何助你敲开职场大门？看视频，一起听听留英学长怎么说-- “在英国留学，我不会错过职业生涯中的任何机遇。我正在与来自47个国家的同事一起工作，离我的职业理想越来越近。”点击：网页链接 了解更多。 英国教育官方微博的微博视频  ,无,无,2021-08-07 19:00,微博视频号,25,4,3
KsmTB48P1,#OnMyWay# 到英国留学，你会获得的最大收获是什么？从学习到生活的方方面面，每个人都有不同的答案；但相似的是，通过这段经历成为了更好的自己。点击 网页链接 ，看看留英学姐学长都怎么说。  英国教育官方微博的微博视频  ,无,无,2021-08-07 17:34,微博视频号,21,1,3
Ks5KbiFnX,#留英树洞##留英新生季#上一支#英国留学vlog#中，@璇璇猪_ 分享的留英省钱小秘籍大家都看了吗她提到英国有不少连锁的慈善店、二手商店，出售各种各样的生活用品、衣服等等。问问大家：你在英国有消费过什么二手物品吗？（还没看vlog的话快去复习，还有🎁等你哦~）  ,无,无,2021-08-05 21:54,微博 weibo.com,3,0,0
KrVWk11Ve,#留英新生季# #英国留学vlog#在英国留学，掌握留英学姐 @璇璇猪_  分享的这十大省钱攻略， 四舍五入轻松帮你省下一笔大钱，亲测有效～ 【转发这条微博+说出你的省钱小妙招】我们两周后抽出幸运儿两名，每人送小米登机旅行箱一个，带着它出发英国～  英国教育官方微博的微博视频  抽奖详情  ,无,无,2021-08-04 20:57,微博视频号,37,24,22
KrSul35eV,#别人的校园都有哪些美景# 在全英国最治愈的美景中上学，是一种怎样的体验？游览梦幻的圣艾夫斯小镇、在临海的罗马式剧场看戏剧，闲暇时漫步到欧洲最美的海滩放空……这些都是你在全球前150名的牛校“埃大” @埃克塞特大学官博 可以做的事。Penryn校区位于英国西南角的“英国最佳度假地”康沃尔，这里是连大明星们都青睐的阳光海岸。在这个校区，康沃尔四大海滩近在你眼前。Streatham校区和St Luke’s校区则位于埃克塞特市内，还被《泰晤士报》誉为“英国最美花园校园”。在最新发布的QS 2022中，“埃大”不仅跻身世界前150，其中还有16门学科进入全球百强、6门学科领跑全球前50，例如体育、历史相关学科等。             [组图共14张]      原图                             ,"http://ww3.sinaimg.cn/large/631046e6gy1gt4bl00dbqj20u00u0k2x.jpg,http://ww2.sinaimg.cn/large/631046e6gy1gt4bkzafkcj218y0u0amy.jpg,http://ww1.sinaimg.cn/large/001OtD0Ogy1gt4bky5orrj60tz0k0tez02.jpg,http://ww4.sinaimg.cn/large/631046e6gy1gt4bkzof2rj218y0u0tu5.jpg,http://ww4.sinaimg.cn/large/631046e6gy1gt4bkywb66j20p00goq6o.jpg,http://ww1.sinaimg.cn/large/631046e6gy1gt4blag919j218y0u0k2l.jpg,http://ww4.sinaimg.cn/large/631046e6gy1gt4bl0vk90j218y0u0n3k.jpg,http://ww1.sinaimg.cn/large/631046e6gy1gt4bkz8ntej20p00gon2p.jpg,http://ww4.sinaimg.cn/large/631046e6gy1gt4bl4ccf5j21900u0dna.jpg,http://ww3.sinaimg.cn/large/001OtD0Ogy1gt4bkytkmcj60zk0nmk0p02.jpg,http://ww3.sinaimg.cn/large/631046e6gy1gt4bkydk1zj218y0u0aew.jpg,http://ww2.sinaimg.cn/large/631046e6gy1gt4bkxubrqj20u01hcq8n.jpg,http://ww4.sinaimg.cn/large/631046e6gy1gt4bkxt4qfj218y0u0dlw.jpg,http://ww1.sinaimg.cn/large/631046e6gy1gt4bkxkq0fj20sg0jjwi1.jpg",无,2021-08-04 12:10,微博 weibo.com,6,9,3
KrMJng3ZQ,#留英新生季# #英国留学vlog#英国人也会喝珍珠奶茶，叫中餐外卖？英国留学的宝藏福利到底是什么？ 中国学生在英国实习的机会并不少？ 留英学姐肖文和你分享“留英时差党”的真实体验。【转发这条微博+说出你心中的宝藏英国博物馆】我们两周后抽出幸运儿两名，每人送小米蓝牙耳机一对～  英国教育官方微博的微博视频                                 ,无,无,2021-08-03 21:30,微博视频号,37,40,42
KrDe115QH,#留英新生季# #英国留学vlog#留英学姐可可 @樱木舒玮在英国  通过镜头告诉你，2021年秋季入学，抵达英国后必做的五件事～ 【转发这条微博+说出你的必备中式料理食材】我们两周后抽出幸运儿两名，每人送出一张【价值25英镑的中式料理食材线上购物卡】（仅限英国境内使用），助你顺利开启英国留学之旅～  英国教育官方微博的微博视频                                 ,无,无,2021-08-02 21:18,微博视频号,65,31,20
Kru4JsX4F,你喜爱动物吗？为什么不来看自己如何能成为一名兽医？英国爱丁堡大学的兽医学本科课程开设了一体化的教学大纲，你能从中学习了解大型动物、小型伴生动物、外来物种和野生动物，让你拓展对不同物种的认识了解，提升自己的职业发展前景，为你在后期的专业化学习提供灵活度。在爱丁堡大学学习兽医学将让你具备众多灵活转移的技能，例如有效沟通技能、团队建设以及对商业管理的理解。兽医培训还为有意从事生物医学研究工作(包括兽医医学和人类医学)的学生提供一流的背景环境。如果想在2022年开启兽医学专业学习之旅，你需在2021年10月15日前通过UCAS提交申请。如需更多详情，请即加入我们的在线信息介绍会！千万不要错失良机，请即报名！网页链接 信息介绍会详情:主题:  发现爱丁堡大学的兽医学专业日期:  2021年9月16日时间:  18:00 – 19:00(北京时间)网页链接                  原图                             ,http://wx4.sinaimg.cn/large/631046e6gy1gsysiu501sj20cj0cijsn.jpg,无,2021-08-01 22:01,微博 weibo.com,1,0,0
KrttO0NKJ,新学年即将到来，英国驻华大使Caroline Wilson @英国使馆吴若兰 女士特别录制了一段视频，欢迎同学们来到英国学习深造。在欢迎词中，吴若兰大使提到：“时间对每个人是公平的。你不曾浪费的每一寸光阴，都将铸就你的未来。”同时，也为留英新生送来了温馨的祝福：“愿大家旅途顺利，前程似锦，未来可期。” 英国文化教育协会也会继续为大家提供支持，帮助大家开启一段精彩的留英之旅。 英国教育官方微博的微博视频                                 ,无,无,2021-08-01 20:30,微博视频号,23,7,5
KraOvnCj4,#留英新生季# 无论在哪里，个人健康防护都不能松懈哦！上一支 #英国留学vlog# 中，留英学姐Kathy @KakaMooli 带大家预习和复习了“2021年英国留学五个必备健康安全tips”。官微君好奇大家都新养成了哪些健康防护的好习惯呢？投票告诉我们吧~ 大家都新养成了哪些健康防护的好习惯呢？  ,无,无,2021-07-30 20:58,微博 weibo.com,17,0,0
Kr7icq7N1,你正在考虑学习兽医学吗？你喜爱动物、热衷动物福祉吗？你想为动物和人类健康作出贡献吗？如果答案是肯定的，那么在英国爱丁堡大学学习兽医学、攻读国际认可的资历认证或许就是你所需要的！如果想在2022年开启兽医学专业学习之旅，你需在2021年10月15日前通过UCAS提交申请。我们世界领先的科研实力和顶尖的临床与教学设施为兽医学培训创造了理想的环境。你可以参加我们免费的在线体验课程(链接如下)，体验了解爱丁堡大学兽医学学位课程大一的学习。千万不要错失良机，请即报名！ 网页链接 信息介绍会详情:主题:  带你认识爱丁堡大学的兽医学专业日期:  2021年9月16日时间:  18:00 – 19:00(北京时间)网页链接 英国教育官方微博的微博视频                                 ,无,无,2021-07-30 12:01,微博视频号,11,1,3
Kr1Sl4ymB,#留英新生季#  【英国高校包机信息更新】截至目前，我们从公共信息渠道了解到已有50所英国高校计划为中国学生提供包机或者在统计包机意愿，确保大家安全抵达校园。建议大家一定要和大学国际办公室或者中国办公室工作人员直接联系了解包机安排情况，慎防诈骗信息乘虚而入。如果你将就读的大学不在以下名单，也可以联系学校了解是否有类似计划即将公布。                  原图                             ,http://wx4.sinaimg.cn/large/631046e6gy1gsy6dzwoipj20j618g0wv.jpg,无,2021-07-29 22:13,微博 weibo.com,5,9,0
KqZVi8YZP,#留英新生季# #英国留学vlog#2021年英国留学五个必备健康安全tips～留英学姐Kathy @KakaMooli 带你深度体验后疫情时期在英国的学习和生活。 【转发这条微博+聊聊你对行前准备还有哪些问题】我们两周后抽出幸运儿两名，每人送出一对【小米无线蓝牙耳机】，助你顺利开启英国留学之旅！  英国教育官方微博的微博视频                                 ,无,无,2021-07-29 17:15,微博视频号,62,17,18
KqXRL96t0,#英国择校指南#【又一个被奥运点燃的夏天！一起走近全球顶尖的体育科学课堂】2020东京奥运会刚刚开幕，为比赛而呐喊的快乐又回来了！专业竞技背后，永远离不开健康科学的支持。如果你想学习体育类学科，开启国际化的职业生涯，@埃克塞特大学官博 将助你圆梦——一起看看全球第13位的体育学科课堂~ 奥运来了！又一个被赛事点燃的夏天，到埃克塞特圆一个体育梦                                 ,无,无,2021-07-29 12:01,微博 weibo.com,0,1,0
KqRrXdrg6,#留英新生季# 2021年秋季入学，英国大学包机来接大家开学啦！截至目前，有15所英国大学为中国学生提供包机，确保大家安全抵达校园。一起看看学校列表吧！需要的同学们赶快和大学取得联系吧～  原图 ,http://wx1.sinaimg.cn/large/631046e6gy1gswwe8vg7sj20u00u5jv8.jpg,无,2021-07-28 19:41,微博 weibo.com,6,7,1
KqOrBsYLG,【为什么有的人还没毕业就能找到工作？秘诀就在校友人脉圈！】无论是回国求职还是在海外求职，校友圈都是一个非常重要的资源，却常常被大家忽略。到英国留学是一个拓展人脉网的好机会，尤其是在国际化程度高的大学如 @伦敦布鲁内尔大学 的帮助下，留学生更容易自信地交友、学会利用资源，找到自己在多...全文 ,无,无,2021-07-28 12:02,微博 weibo.com,3,4,0
KqIblwcha,#留英新生季# #英国留学vlog#行李打包红黑榜 -- 这些东西真的不需要带！留英学姐@Emma-swans蕊 告诉你来英国留学行李打包的详细指南～ 【转发这条文博+说出你认为来英行李中必须要带的一样东西】我们两周后抽出幸运儿两名，每人送出一个【小米旅行登机箱】，助你顺利开启英国留学之旅！  英国教育官方微博的微博视频                                 ,无,无,2021-07-27 20:05,微博视频号,69,38,42
KqyZAjT6Q,#留英新生季# 【教程｜抵达英国后警局注册指南】 抵达英国后，大家一定要做的一件事就是完成警局注册。 英国警局注册详细教程也为大家安排上了。 有同学提问到，网上预约系统显示最早的注册日期已经超过了抵达后的7天，大家不用着急，按照网上给出的时间，选择最早的时间预约就可以啦～  抵达英国后警局注册指南                                 ,无,无,2021-07-26 20:41,微博 weibo.com,2,5,1
Kq3iJ2Fzb,#英国择校指南#【一张图读懂一所高校】选专业，不能不看科研实力！@英国埃塞克斯大学  是许多人文社科研究中的佼佼者，例如政治与国际关系、电影研究、戏剧类专业，位列全英前十。其商学院还是全英第一所零碳排放学院，也是“可持续经济”理念的典型案例。读图了解这所世界一流大学~  原图 ,http://wx4.sinaimg.cn/large/631046e6gy1gsq6akjubuj20u04dckiv.jpg,无,2021-07-23 12:01,微博 weibo.com,4,3,1
KpXG6lcbn,#英国留学官方指南# 【 教程｜7月19号之后入境英国后到底要如何隔离？政策详解来了！】自2021年7月19日开始，英国政府调整了入境政策。对于即将启程飞往英国的同学们来说， 一定要提前了解，以免造成不必要的麻烦。今天，我们就向大家详细讲解最新的入境英国政策以及自我隔离要求，赶快马下来吧～  7月19号之后入境英国后到底要如何隔离？政策详解来了！                                 ,无,无,2021-07-22 21:42,微博 weibo.com,17,25,3
KpDS8fgp0,#英国留学官方指南#  【教程｜在英国如何领取新冠病毒自测包】 对于大家提出的在英国境内领取新冠病毒自测包的问题， 干货教程来为大家安排上啦～ 这篇快速抗原检测 (rapid lateral flow tests)  领取指南，赶快收藏起来吧～  教程｜在英国如何领取新冠病毒自测包  ,无,无,2021-07-20 19:16,微博 weibo.com,7,6,0
Kp2IYlXed,#留英干货# #书单推荐#【翻译专业入学前参考书单】学习同传、翻译专业的小伙伴们在哪里？这里有一份专业书单～ 包含了翻译理论、中国古诗翻译、翻译方法论等知识点，帮助大家打下学习基础、找到专业中的乐趣！趁这个夏天读起来吧~ 这次我们也加入了一些中文书籍，更便于大家找到相关资料～  [组图共6张] 原图 ,"http://ww4.sinaimg.cn/large/631046e6gy1gsj2q6j49lj20m80m840i.jpg,http://ww3.sinaimg.cn/large/631046e6gy1gsj2q4z637j208z0dwwei.jpg,http://ww4.sinaimg.cn/large/631046e6gy1gsj2q5bdn8j20go0q4wg3.jpg,http://ww2.sinaimg.cn/large/631046e6gy1gsj2q5fi68j20b50hqgme.jpg,http://ww4.sinaimg.cn/large/631046e6gy1gsj2q54y76j20950dw3zx.jpg,http://ww2.sinaimg.cn/large/631046e6gy1gsj2q5grz8j20p711s0vs.jpg",无,2021-07-16 20:42,微博 weibo.com,12,9,3
KoZjf5OFy,#英国择校指南#【全英政治研究第一，你想读的政治学可以长这样】英国的政治学教育有着悠久历史和全球口碑，@英国埃塞克斯大学 是其中的佼佼者。它的政治学与国际研究专业不仅位居全球第48（QS 2021），其研究实力还位居全英之首（REF 2014）。在这里学政治学是一种怎样的体验？来看看它是不是你在找的dream school~  全英政治与国际关系研究第一，你想读的专业可以长这样                                 ,无,无,2021-07-16 12:01,微博 weibo.com,1,1,0
KoXKelfTz,#高考成绩报考英国# 2021年的高考成绩已经在不久前公布，大家也来到了选大学、选专业的关键时期！在这期间，不妨一起来看看你的高考分数，是否还能给你带来一个全新的大学选择呢？英国排名前列的@英国斯特灵大学 本科接受高考成绩直申啦！4个简单问答，带你看看它是不是你梦想中的大学~ 高考成绩留英直申：QS五星、欧洲最美校园之一斯特灵大学接受高考成绩                                 ,无,无,2021-07-16 08:02,微博 weibo.com,4,4,4
KoKnNhU03,#征集问题#   计划2021年留学英国的同学们，如果你对签证申请、行前准备、入境流程、适应英国学习生活等方面有任何问题，欢迎评论区留言。官方解答近期为大家陆续安排上～  原图 ,http://wx1.sinaimg.cn/large/001OtD0Ogy1gsgpr8prhkj60hs0a0mxe02.jpg,无,2021-07-14 22:01,微博 weibo.com,0,2,4
KoHPVqeu1,#英国教育#本周起，2021英国高校网上教育展第二阶段启动。在接下来的五天中，同学们可以登录活动页面，就自己在报考英国院校、语言成绩考试等方面的问题，在线提问British Council或相关院校，权威专家将在第一时间为你答疑解惑。还有更多趣味活动等你探索哦！2021英国高校网上教育展  原图 ,http://wx4.sinaimg.cn/large/631046e6gy1gsgii4nz7pj20u016lx6u.jpg,无,2021-07-14 15:32,微博 weibo.com,3,10,8
Kor4PmsrB,#学英语# 来聊一聊俚语吧～ 英语里有一个说法叫“Donkey’s Years”，翻译成中文可能是什么意思呢？ 英语里有一个说法叫“Donkey’s Years”，翻译成中文是什么意思？  ,无,无,2021-07-12 20:52,微博 weibo.com,65,2,2
KnZ2JePF2,#英国留学官方指南# 【政策发布｜12所英国高校2021年申请、入学以及防疫政策更新】官微君为大家整理了包括留学申请、语言课程安排、教学安排以及疫情防控措施在内的，来自12所英国高校的最新政策更新，赶快转给需要的同学！  [组图共12张] 原图 ,"http://ww2.sinaimg.cn/large/631046e6gy1gsaymmd3faj20u01n7gvx.jpg,http://ww4.sinaimg.cn/large/631046e6gy1gsaymoteebj20u01sbwqo.jpg,http://ww2.sinaimg.cn/large/001OtD0Ogy1gsaymsf0ilj60u02hlh2a02.jpg,http://ww1.sinaimg.cn/large/631046e6gy1gsaymto7lmj20u0165q9r.jpg,http://ww4.sinaimg.cn/large/631046e6gy1gsaymwhutij20u01kwtje.jpg,http://ww3.sinaimg.cn/large/631046e6gy1gsayn01xotj20u01pck1d.jpg,http://ww4.sinaimg.cn/large/631046e6gy1gsayn39aesj20u04ch4qp.jpg,http://ww1.sinaimg.cn/large/631046e6gy1gsayn5ao3bj20u0238dsg.jpg,http://ww1.sinaimg.cn/large/631046e6gy1gsayn87rdpj20u028318h.jpg,http://ww3.sinaimg.cn/large/631046e6gy1gsaynbg1gwj20u02k1wwo.jpg,http://ww3.sinaimg.cn/large/631046e6gy1gsayneadm1j20u02r5k9l.jpg,http://ww2.sinaimg.cn/large/631046e6gy1gsaynhk2nfj20u01d2ais.jpg",无,2021-07-09 21:30,微博 weibo.com,2,5,2
KnYs3us9a,【#英国毕业生工作签证# 详细申请教程】大家都很关注的英国毕业生工作签证 (Graduate Route)已经开放申请啦～ 赶快收下这份超详细版的申请教程， 祝留英校友都能喜提签证，从英国开始职场征程～  [组图共9张] 原图 ,"http://ww1.sinaimg.cn/large/631046e6gy1gsaxyflgjaj20u02kjaz2.jpg,http://ww4.sinaimg.cn/large/631046e6gy1gsaxyhbkxtj20u02bg4fl.jpg,http://ww1.sinaimg.cn/large/631046e6gy1gsaxyixcirj20u01dyk1t.jpg,http://ww1.sinaimg.cn/large/631046e6gy1gsaxylodm6j20u01qpdrb.jpg,http://ww2.sinaimg.cn/large/631046e6gy1gsaxyoghlij20u01mr49n.jpg,http://ww4.sinaimg.cn/large/631046e6gy1gsaxyrdjotj20u02ksnf0.jpg,http://ww4.sinaimg.cn/large/631046e6gy1gsaxyukeykj20u03jf4qp.jpg,http://ww3.sinaimg.cn/large/631046e6gy1gsaxyxsz4hj20u021ke08.jpg,http://ww2.sinaimg.cn/large/631046e6gy1gsaxz0drkrj20u02wxked.jpg",无,2021-07-09 19:59,微博 weibo.com,27,58,5
KnPS2xDg2,#英国留学官方指南# 【在英国学习的五大重要理由】教育是人生中一项最重要投资，选择在英国攻读学位的学生开辟了一条充满自信的道路。每年都有数千名国际学生选择在英国学习，英国院校毕业生全世界就业率最高。今天，我们就为你盘点在英国学习的五大理由。希望大家通过英国留学，都能成就最好的自己！ 在英国学习的五大重要理由                                 ,无,无,2021-07-08 22:08,微博 weibo.com,1,5,4
KnB9BgsVL,#牛津国际—为英国申请加BUFF#如果学生暂时达不到英国大学的入学要求，或者想通过预科课程过渡一年以适应国外生活和学习，那么牛津国际与各大学合作建立的预科学院是一个不错的选择。学生自入读预科学院第一日起便可充分体验大学生活的精彩和乐趣，同时享有预科学院提供的额外支持和帮助，为未来的学位课程学习打下良好基础。 预科学院的学生将受益于:• 专业的小班授课• 灵活的开课日期：9月，1月，4月或6月• 联合CAS• 从入学第一天起即刻享有大学设施和服务• 有机会申请到大学宿舍• 顺利完成课程后入读所选学位与牛津国际合作且认可线上英语先修课程的预科学院包括：• 班戈大学国际学院• 格林威治大学国际学院点击了解更多课程信息：网页链接                  原图                             ,http://wx3.sinaimg.cn/large/631046e6ly1gs0ogfegtkj20ij0ccdh0.jpg,无,2021-07-07 08:41,微博 weibo.com,0,2,0
KnwZrxslP,#留英树洞# 在选择英国的宿舍或住所时，对你来说，头等必备设施是？ 在选择英国的宿舍或住所时，对你来说，头等必备设施是？  ,无,无,2021-07-06 22:05,微博 weibo.com,77,1,0
KnnDgtT6h,#留英职场# 【英国不同行业实用求职渠道合集（一）：金融/会计/精算/经济类】想必大家已经用过了不少英国求职的常用网站，例如indeed、Reed、Totaljobs。那么针对不同行业，大家也可以通过一些行业专属的网站更高效地求职。今天我们总结了金融会计类求职的网站，有需要的小伙伴们快转发收藏起来吧~Adzune，会计与金融职位平台Inside Careers，金融职位专门平台All About Finance，会计与金融职位平台eFinancial，英国及世界范围内的金融类职业专门平台Hays，会计与金融职位平台Acumen Resources，精算职位专门平台，同时包括银行、金融、咨询、投资等行业职位Star Actuarial，精算职位专门平台The Actuary，包含行业最新资讯和职位的精算行业期刊CityJobs，银行、会计、精算、保险类职业专门平台Econ-Jobs，经济学相关职位平台，雇主包括学界、私营、政府部门和国际组织Inomics，经济学相关职位平台，全球范围内公开职位The Economist Jobs，《经济学人》网站内职位检索Government Economic Service (GES)，雇佣专业经济学者的英国政府部门和机构                  原图                             ,http://wx3.sinaimg.cn/large/631046e6gy1gs6fm4o5idj20hs0ckq4x.jpg,无,2021-07-05 22:15,微博 weibo.com,13,19,0
Knm1cy5U4,英国文化教育协会联合UCL伦敦大学学院为你揭秘无人自动驾驶汽车的奥秘！无人驾驶或自动驾驶汽车有望以深刻的方式改变世界，然而人们对交通事故的责任、安全测试以及可能对交通系统造成的更广泛影响提出了疑问。7月15日下午5点，来自UCL科技研究系的杰克.斯蒂尔戈教授将与你探讨这项技术。活动报名链接网页链接 @英国大使馆文化教育处                  原图                             ,http://wx1.sinaimg.cn/large/631046e6gy1gs68hmip1tj20xc0go4qp.jpg,无,2021-07-05 18:09,微博 weibo.com,6,9,3
