微博id,微博正文,原始图片url,发布位置,发布时间,发布工具,点赞数,转发数,评论数
Lemt5C3Id,【今日推荐——线上研讨会】2月10日本周四20.00（中国时间），同Shivani Gupta一起探讨：如何在线上或线下英语课堂中设计和实践有效的分组讨论活动，调动所有学生的学习积极性和课堂参与度。注册报名：网页链接  [组图共2张] 原图 ,"http://ww1.sinaimg.cn/large/801513c2gy1gz4vv82c5ij20hl0fvjtp.jpg,http://ww2.sinaimg.cn/large/801513c2gy1gz4vugnxmqj20h108iq57.jpg",无,2022-02-07 13:29,微博 weibo.com,1,3,0
LdgLUbCRn,在虎年新春到来之际，真诚地感谢您对我们英语教师可持续专业发展工作的关注和大力支持！恭祝大家春节快乐、吉祥如意，虎虎生威！[福气虎][福气虎][福气虎]  原图 ,http://wx1.sinaimg.cn/large/801513c2gy1gytll0entzj20u00u0q73.jpg,无,2022-01-31 09:09,微博 weibo.com,0,0,0
LcSpMCQSP,"每月一期【教学与研究 | 英语教师专业发展免费资源包（新春礼包版）】现已上线！扫描下图中各活动二维码或点击这里立即获取丰富资源👉网页链接本月资源包内容速览：👇【活动免费报名】两场专题研讨会：聚焦语言课堂中的分组讨论活动、如何设计一堂参与性极强的叙事课【研究奖项申请】霍恩比 – 词典和词汇学英语教育研究项目（A.S. Hornby Dictionary Research Awards）项目金额高达15,000英镑/项目【往期精彩回顾】挑战与认知：适度增加中学英语课堂的有意义挑战幼儿英语教学：与低年龄孩子的第一堂英语课幼儿英语教学：与低年龄孩子的学年最后一堂英语课点燃中小学课堂英文创意写作的神奇魔力帮助你的学生成为更加独立的学习者更多资源，欢迎关注哔哩哔哩账号【TeachingEnglish】👉网页链接#英语# #英语教学# #英语教师成长与发展#                  原图                             ",http://wx1.sinaimg.cn/large/801513c2gy1gytlh8f4pnj20u06ethdt.jpg,无,2022-01-28 19:08,微博 weibo.com,2,1,3
LahGV6Jk4,#英语# #网络研讨会# 如何将低阶和高阶思维技能融入青少年课堂教学的各阶段，鼓励教师进行提问重构，学生更多自主选择机会——1月13日，本周四晚20.00-21.00，与Join Sarah Smith和Claire Steele一同探讨青少年课堂中存在的挑战和解决方案。报名指路：网页链接  [组图共2张] 原图 ,"http://ww1.sinaimg.cn/large/801513c2gy1gy9vwd1uj4j20h90fytau.jpg,http://ww3.sinaimg.cn/large/801513c2gy1gy9vwhteqej20u07eox6p.jpg",无,2022-01-11 17:58,微博 weibo.com,0,0,1
L9mRi62TO,每月一期【教学与研究 | 英语教师专业发展免费资源包（1月）】现已上线！扫描下图中各活动二维码或点击这里立即获取丰富资源网页链接 本月资源包内容速览：👇【有奖问卷】需求调研 – 中小学英语教师（在线）持续专业发展 （期待基于您的需求，为您提供更好的内容）【活动免费报名】三场专题研讨会：中学英语课程挑战与认知、中小学课堂英文写作、独立学习者必备技能一个在线培训课程：英语口语教学【往期精彩回顾】幼儿英语在线教学、拼读教学高等教育中的英语：全英文教育资源欠发达情况下的语言教学与教师合作2021英国文化教育协会全球英语教学创新奖（ELTons Awards）颁奖典礼及获奖嘉宾专访更多资源，欢迎关注哔哩哔哩账号【TeachingEnglish】👉网页链接                  原图                             ,http://wx1.sinaimg.cn/large/801513c2gy1gy2x09hc5yj20u07eox6p.jpg,无,2022-01-05 17:17,微博 weibo.com,1,1,0
L7yg9CiUh,【今日推荐——英语教育中的气候关系】The Climate Connection – Podcast Series系列播客节目（共十集）聚焦探寻气候危机与语言教育之间的关系。现已在我们的B站TeachingEnglish上更新全集！第六集：网页链接第七集：网页链接第八集：网页链接第九集：网页链接第十集：网页链接更多内容指路官网：网页链接                  原图                             ,http://wx1.sinaimg.cn/large/801513c2gy1gxp3x0hxqcj20u00u00wh.jpg,无,2021-12-24 18:38,微博 weibo.com,1,0,0
L6tTMl8Or,【今日推荐——免费慕课】Gender in language education语言教育中，可能存在什么样的性别偏见和刻板印象？对于性别公平与平等，人们还面临什么样的障碍？如何去克服？在这个四周的培训课程中，您将找到答案！免费注册报名通道👉 网页链接  [组图共2张] 原图 ,"http://ww1.sinaimg.cn/large/801513c2gy1gxgyy0yablj20dc08wgmp.jpg,http://ww3.sinaimg.cn/large/801513c2gy1gxgyxyybr1j20u06g8u0x.jpg",无,2021-12-17 17:41,微博 weibo.com,0,0,0
L4Mf7e8wt,【今日推荐——线上研讨会】如何提高学生在语言课堂上的兴趣和动力？项目制学习方式有何益处？12月9日19.00，加入我们的免费网络研讨会，以项目制学习在中学英语课堂中的实践为例，了解该方式如何增加学生课堂参与度，引导学生进行协作学习。同时，研讨会中将总结优秀学习项目的特点，提供可供参考的项目搭建框架和方法 报名通道👉网页链接更多本月英语教师专业发展相关会议、培训和资源，请见下方长图。             [组图共2张]      原图                             ,"http://ww3.sinaimg.cn/large/801513c2gy1gx40h2l95mj20gx0epabm.jpg,http://ww4.sinaimg.cn/large/801513c2gy1gx40hawfstj20u06g8u0x.jpg",无,2021-12-06 12:43,微博 weibo.com,0,0,0
L4mAXhsJ3,每月一期【教学与研究 | 英语教师专业发展免费资源包（12月）】现已上线！扫描下图中各活动二维码或点击这里立即获取丰富资源 网页链接本月资源包内容速览：👇【活动免费报名】三场专题研讨：高等教育英语探讨、项目制学习案例分享、数字英语戏剧项目案例分享两个在线课程：中小学听力教学、语言教学中的性别元素一场学术盛会：“新方向”国际英语测评研讨会【往期精彩回顾】#EmergingEnglish 基础教育英语教师发展系列网络研讨会（设计课程材料与任务、创建高效家庭作业）如何运用支持性技术帮助有特殊教育需求的学生如何更好地教授有阅读障碍的学生以及有效引导其进行语言学习【免费资源下载】通过教师活动小组（TAG）促进教师专业发展（视频+报告）一带一路沿线国家：英语教学探索性行动研究案例集（墨西哥）（报告）更多资源，欢迎关注哔哩哔哩账号【TeachingEnglish】👉网页链接                  原图                             ,http://wx4.sinaimg.cn/large/801513c2gy1gx0v9nlb0dj20u06g8u0x.jpg,无,2021-12-03 19:25,微博 weibo.com,1,1,1
L43Rqx8mo,【今日推荐——高等教育中的英语】12月1日，21.00-22.30，加入免费网络研讨会 “高等教育中的英语——挑战、机遇、当前实践和未来趋势”的全球性研究报告以及各国全英文课程的实践案例。报名直达：网页链接 与来自British Council，Complutense University of Madrid，University of Vienna，University of Oxford，University of Westminster以及The Open University的专家共同探讨EME在高等教育中为学习者、教师以及决策者带来怎样的挑战与机遇。研讨会将深入探讨特别是在中等或低收入国家地区的EME实践情况以及未来发展趋势。             [组图共2张]      原图                             ,"http://ww4.sinaimg.cn/large/801513c2gy1gwykkca8j8j20gw0ezjt0.jpg,http://ww2.sinaimg.cn/large/801513c2gy1gwykkfwyrlj20h206s0u8.jpg",无,2021-12-01 19:44,微博 weibo.com,1,0,0
L2XH83GUu,【今日推荐——英语教育中的气候关系】The Climate Connection – Podcast Series系列播客节目（共十集）聚焦探寻气候危机与语言教育之间的关系。现已在我们的B站TeachingEnglish上更新至第5集：第一集：网页链接第二集：网页链接第三集：网页链接第四集：网页链接第五集：网页链接更多内容指路官网：网页链接                  原图                             ,http://wx2.sinaimg.cn/large/801513c2gy1gwq7mnb7d0j20u00u00wh.jpg,无,2021-11-24 14:12,微博 weibo.com,0,0,0
L2O781ahy,【今日推荐——英语教学与测评】什么是formative assessment？对于productive skills与receptive skills的测评又有什么不同？formative assessment tools有什么？有哪些测评工具可以帮助教师课堂实践提高英语学习者的语言水平？......William Bayliss，英国文化教育协会英语语言测评顾问主管，应邀在2021国际英语教育中国大会中，以【Technology and formative assessment: practical solutions for teachers】为题进行了专题发言，带您了解语言测评与英语教学。  英国大使馆文化教育处英语教学的微博视频                                 ,无,无,2021-11-23 13:48,微博视频号,3,5,0
L2GW7yiPY,【今日推荐——英语教学】资源欠发达地区应如何进行英语教学与学习？英国利兹大学讲师、国际英语教师协会前任主席Harry Kuchah Kuchah在此前2021国际英语教育中国大会中，就相关主题进行了主旨发言：Promoting pedagogic partnerships for meaningful learning in under-resourced contexts  英国大使馆文化教育处英语教学的微博视频                                 ,无,无,2021-11-22 19:32,微博视频号,2,2,0
L1U6T4Cbd,【今日推荐——英语教学】英语教师在阅读教学中会遇到什么样的挑战？阅读教学中什么是Product approach，什么又是Process approach？还有更多阅读教学的技巧和方法都汇总在本期的Teacher Takeaways系列线上工作坊中！工作坊主题：Using product and process approaches to teach writing effectively | 采用结果教学法和过程教学法，开展高效的写作教学更多可下载资源，指路官网👉网页链接  英国大使馆文化教育处英语教学的微博视频                                 ,无,无,2021-11-17 15:14,微博视频号,1,1,0
L1Atuh5DP,【动画话书】《English in higher education-English medium Part 1: literature review | 高教中的英语：文献综述》过去十年间，高等教育中的全英文授课在全球范围内迅速发展，今天向大家介绍的正是由一组顶尖的学术专家针对该现象进行深入调研后发表的研究报告。该报告涵盖的主题广泛，从EM全英文授课的含义，到其在不同地区的发展及原因、实践方法、实施过程中遇到的挑战和成功的案例等方面进行梳理和探讨。👉官方原视频：English in higher education-English medium Part 1: literature review高教中的英语-文献综述 出版物完整版在线浏览/下载渠道请见视频评论区             [组图共3张]      原图                             ,"http://ww3.sinaimg.cn/large/801513c2gy1gwfr8sdjv5j20hm0a23z9.jpg,http://ww3.sinaimg.cn/large/801513c2gy1gwfrc9otzcj20hn0a4ta3.jpg,http://ww3.sinaimg.cn/large/801513c2gy1gwfregj4udj20hm0a775g.jpg",无,2021-11-15 13:14,微博 weibo.com,0,0,0
L1aiNuOL9,【动画话书】《English across the fracture lines | 跨越分裂线的英语》今日介绍的该书讲述了世界各地的人们如何用英语搭建桥梁，消弭分歧，促进稳定和和平，增进跨文化交流与理解，同时促进环境可持续发展。👉官方视频资源频道：English across the fracture lines跨越分裂线的英语 出版物完整版在线浏览/下载渠道请见视频评论区             [组图共3张]      原图                             ,"http://ww4.sinaimg.cn/large/801513c2gy1gwcju4d79aj20hn0a3757.jpg,http://ww3.sinaimg.cn/large/801513c2gy1gwcjuhxjv2j20hm0a10tx.jpg,http://ww4.sinaimg.cn/large/801513c2gy1gwcjuutqcfj20hn0a6dh3.jpg",无,2021-11-12 18:37,微博 weibo.com,0,1,0
L0Yz10N3R,"ELTons Innovation Awards 2021: Live online on Monday, 15 November, 13.45-17.30 UK time. ELTons Awards英语教学创新奖2021颁奖将于11月15日下周一北京时间21:45进行线上直播！免费报名通道：网页链接一年一度的ELTons国际英语教学创新奖（ELTons Innovation Awards）由英国文化教育协会主办，是全球范围内英语教学创新领域的最高荣誉之一，旨在通过奖项的设立、申请和评选，鼓励和支持全球范围内满足英语教师和学习者真实需求的最新原创课程、书籍、出版物、应用程序、教学平台和教育项目。今年我们收到的申请数量再创新高，共有来自六大洲50多个国家的教育者们分享了各自在英语学习、教学研究领域的创新理念与实践！今年各项大奖花落谁家？我们诚挚邀请英语教育工作者们云聚首本次线上颁奖活动！                  原图                             ",http://wx4.sinaimg.cn/large/801513c2gy1gwb40zp6qzj20hi09umyn.jpg,无,2021-11-11 12:44,微博 weibo.com,2,2,0
L0YlMF7sZ,【动画话书】《Dreams and Realities: Developing Countries and the English Language | 梦想与现实：发展中国家与英语》世界各地在英语语言政策以及英语发展项目上各有什么不同、面临什么样的挑战以及有哪些值得深思的地方？今天给大家介绍的这个出版物从多环境多角度出发来探讨这些问题。👉官方视频资源频道：Dreams and Realities-Developing Countries and the English Language梦想与现实：发展中国家与英语 该书分章节及全文在线浏览/下载渠道请见视频评论区             [组图共3张]      原图                             ,"http://ww1.sinaimg.cn/large/801513c2gy1gwb328q04rj20hm0a0mxt.jpg,http://ww1.sinaimg.cn/large/801513c2gy1gwb32hqjtkj20hn0a4t99.jpg,http://ww2.sinaimg.cn/large/801513c2gy1gwb32l1t69j20hm0a3gmf.jpg",无,2021-11-11 12:11,微博 weibo.com,0,1,0
L0QdX86lr,"【今日推荐——英语教学】教师该如何通过课程结构和教学活动来提高学生的自主能动性？不同的课堂任务有什么不同的效果？在设计教案时有什么需要特别注意的部分？以及有什么技巧帮助进行课堂设计？......在Teacher Takeaways系列线上工作坊中您将找到答案！工作坊主题：Reviewing lesson objectives, structure and task design to help plan varied and effective lessons | 重新审视教学目标、课堂结构和任务设计，打造多样化且高效的教学课堂更多可下载资源，指路官网 网页链接  英国大使馆文化教育处英语教学的微博视频                                 ",无,无,2021-11-10 15:30,微博视频号,2,2,0
L0PfwdhHR,【动画话书】《Professional development through Teacher Activity Groups | 教师活动小组促进专业发展：国际项目综述》今日介绍的这份学术报告将带您了解：什么是教师活动小组（TAGs）？如何实施及其成效如何？同时还为如何实践教师活动小组提供了务实建议。官方视频资源频道：Professional development through Teacher Activity Groups教师活动小组促进职业发展             [组图共3张]      原图                             ,"http://ww3.sinaimg.cn/large/801513c2gy1gw9yvbwvlyj20hj0a40t9.jpg,http://ww3.sinaimg.cn/large/801513c2gy1gw9yvontanj20hm0a2gmh.jpg,http://ww2.sinaimg.cn/large/801513c2gy1gw9yvi8mk6j20hk0a4gme.jpg",无,2021-11-10 13:01,微博 weibo.com,0,0,0
L0FxXbNyY,【今日推荐——英语教学】What is the SECRET of working with children?Carol Read来为您揭秘小学英语教学的门道，还有超多宝贵的教学小窍门助力您的教学！官方视频资源频道：The secret of working with children小学英语教学技巧分享  原图 ,http://wx4.sinaimg.cn/large/801513c2gy1gw8rxnkj07j20hl0a2wfe.jpg,无,2021-11-09 12:19,微博 weibo.com,0,4,0
L0FjU7olo,【动画话书】《Integrating global issues in the creative English language classroom》今日介绍的这个出版物为英语语言教师提供了丰富的英语教学创新思路，同时帮助教师通过语言教学增进学生们对于十七个联合国可持续发展目标的认识。官方视频资源频道：Integrating global issues in the creative English language classroom创意英语课堂探讨全球议题  [组图共2张] 原图 ,"http://ww3.sinaimg.cn/large/801513c2gy1gw8qtiafawj20hk0a0gn3.jpg,http://ww2.sinaimg.cn/large/801513c2gy1gw8qqxntnsj20hm0a2q46.jpg",无,2021-11-09 11:44,微博 weibo.com,0,0,0
L0wXzAhSK,"【今日推荐——英语教学】Adapt, Adopt, Reject这三个词汇如何可以帮助我们评估英语教学材料和思路吗？该如何将Higher Order Thinking (H.O.T.) 融入教学活动中？Critical Thinking的四个主要方面都是什么，如何在英语教学中融入和提升？......在Teacher Takeaways系列线上工作坊中您将找到答案！工作坊主题：学生思维能力的培养：课堂活动的设计、调整与实践 Adapting and experimenting with tasks to encourage thinking skills in classroom tasks更多可下载资源，指路官网 网页链接  英国大使馆文化教育处英语教学的微博视频                                 ",无,无,2021-11-08 14:27,微博视频号,3,2,0
L056fz4bN,每月一期【教学与研究 | 英语教师发展免费资源包】11月已上线！扫描下图二维码或点击这里立即获取丰富资源 网页链接本月资源包内容速览：👇[免费报名（本期资源）]三个培训课程：国际理解、听力教学、线上教学三次专题研讨：幼儿英语、专业发展、团队管理三场学术盛会：ELTons英语教学创新奖颁奖、IATEFL青专委35周年、新方向英语测评大会[免费下载（往期回顾）]此外，还有最受教师欢迎的教学和培训视频回顾，分学段、分主题的课堂教学材料免费下载，以及配动画视频解说的学术研究报告更多资源，欢迎关注哔哩哔哩账号 @TeachingEnglish：网页链接                  原图                             ,http://wx2.sinaimg.cn/large/801513c2gy1gw4b2rpzerj20u018046h.jpg,无,2021-11-05 15:32,微博 weibo.com,2,3,0
KDAuMFyLP,“Climate Action in Language Education 英语教育中的气候活动”最新免费慕课系列已上线，欢迎各位英语教师与英语教育工作者报名学习！扫描图中二维码即刻开启学习之旅！课程有效期：四周（10月19日-11月16日），共包含三个时长各为3小时的学习模块模块一：Introducing climate change issues into language teaching classes模块二：Developing and delivering lessons with a sustainability focus模块三：Making sustainability part of your learners' lives                  原图                             ,http://wx3.sinaimg.cn/large/002lqpWigy1gvlnuumtg6j60u016fajp02.jpg,无,2021-10-20 12:25,微博 weibo.com,0,0,0
KDk7158SX,【Teacher Takeaways：英语教学实用理念与方法】系列第四场研讨会【Using product and process approaches to teach writing effectively | 采用结果教学法和过程教学法，开展高效的写作教学Teaching Listening】已于上周四进行了直播 错过直播或者想要复习？回放视频已上线，前往我们官方视频频道观看👉 #TeacherTakeaways 教学研讨会第四场: 采用结果教学法和过程教学法，开展高效的写作教学本场研讨会的其他可下载教学资源也已同步上线官网👉 网页链接                                 ,无,无,2021-10-18 18:42,微博 weibo.com,0,0,0
KCFhxCQuL,#TeacherTakeaways 系列教学工作坊的最后一场线上活动，聚焦写作教学，将在今天下午4点直播！报名仍在继续，欢迎扫描下方二维码或点击报名链接免费参加👉网页链接本系列第三场【Teaching Listening】已于本周二进行了直播 错过直播或者想要复习？回放视频已上线，由此观看👉 #TeacherTakeaways 教学研讨会第三场: 听力教学本场研讨会的其他可下载教学资源也已同步上线官网👉 网页链接                  原图                             ,http://wx3.sinaimg.cn/large/002lqpWigy1gven6m41ojj60u01khai102.jpg,无,2021-10-14 10:46,微博 weibo.com,1,0,0
KBVJI22lh,【Teacher Takeaways：英语教学实用理念与方法】系列网络研讨会的最后两场将于下周二、四直播！报名仍在继续，扫描下图二维码或戳此链接即刻报名第三场：网页链接第四场：网页链接想要温习前两场研讨会内容？官网精彩集锦指路：网页链接  [组图共2张] 原图 ,"http://ww1.sinaimg.cn/large/002lqpWigy1gv926yx4ddj60u01o0ahn02.jpg,http://ww4.sinaimg.cn/large/002lqpWigy1gv9272j24jj60u01khai102.jpg",无,2021-10-09 14:49,微博 weibo.com,2,1,0
KBrCweCaJ,2021世界教师日 | 英国文化教育协会英语教学与教师发展研讨会，第二日，免费注册，持续进行中：网页链接 英国大使馆文化教育处英语教学的微博视频  ,无,无,2021-10-06 10:09,iPhone客户端,3,4,2
KAzfQc1XU,2021世界教师节 | British Council教学发展系列研讨会(免费注册)10月5日-10月8日，八场不同主题的全球英语教学研讨会，每场60分钟。研讨嘉宾来自@英国大使馆文化教育处 、英国开放大学、剑桥大学出版社、巴塞罗那大学、ELT Footprint、Consultant-E等全球知名机构。还有免费证书可以领取哦！点击活动官网链接，选择你感兴趣的话题参加吧：网页链接             [组图共2张]      原图                             ,"http://ww1.sinaimg.cn/large/002lqpWigy1guyp8dwyoej60ea09i0tm02.jpg,http://ww2.sinaimg.cn/large/002lqpWigy1guyp8ejwh7j60tw0fpaga02.jpg",无,2021-09-30 15:44,iPhone客户端,4,13,2
KsFOKEmLV, The Climate Connection – Podcast Series系列#播客#节目，现已更新至第7集，节目聚焦探寻#气候危机#与语言教育之间的关系。更多详情以及在线收听与下载渠道：网页链接系列节目中，我们将一起倾听来自教师、培训专家、研究人员、出版机构以及作家们的声音，了解世界各地对于语言教育中气候行动的前沿动态。同时，我们将携手牛津英语词典(Oxford English Dictionary)探索更多在#英语#及其它语言中与气候相关的语言起源。                  原图                             ,http://wx3.sinaimg.cn/large/801513c2gy1gtaoeh9b0kj20u00u00wh.jpg,无,2021-08-09 17:44,微博 weibo.com,0,1,0
Kr7hP2lc6,【Using Literature with Young Learners and Teenagers 文学元素在少儿及青少年英语教学中的融入】系列网络研讨会精彩回放！研讨会第三场：A window to the world: Graphic Novels in the Secondary English Language Classroom连环画小说帮助我们为学习者提供易懂且适龄的文本材料，以及可视化的语言输入。原汁原味的内容本身在设计版式上就具有吸引力，能够调动学习者（特别是青少年）的积极性。此外，这些故事内容多样、与时俱进，可作为学习者了解广阔世界的一扇窗户，丰富他们的跨文化知识和国际视野，同时还让学习者有机会了解到诸如种族歧视、女性力量、LGBTQI+平等以及移民等主题的内容。本场研讨会将探讨在英语教学中运用连环画小说的好处：不仅能提升学生的语言能力，还能聚焦全球议题以及培养其21世纪技能。接着将检验如何实际运用于各种情境下的中学课堂里。此外，研讨会还将分享一系列万能型的教学活动与和资源，可适用于任何合适的连环画小说。通过参与本场研讨会，您将能够充分利用我们教学法技能库中的教学工具，助力您的英语教学。  英国大使馆文化教育处英语教学的微博视频                                 ,无,无,2021-07-30 12:00,微博视频号,0,2,0
KqYtZhzhb,"【Using Literature with Young Learners and Teenagers 文学元素在少儿及青少年英语教学中的融入】系列网络研讨会精彩回放！研讨会第二场：Using children's literature as mirrors, windows and sliding glass doors in primary ELT本场研讨会创造性地探讨了教师该如何将地道的儿童文学融入少儿英语教学中。通过探讨Rudine Sims Bishop博士关于“mirrors, windows and sliding glass doors”这一隐喻，为教师提供框架方法，帮助其挑选出可运用在英语课堂中的儿童文学作品，如绘本、章节故事书以及诗体小说等。  英国大使馆文化教育处英语教学的微博视频                                 ",无,无,2021-07-29 13:35,微博视频号,0,0,0
KqS22nBHa,【Using Literature with Young Learners and Teenagers 文学元素在少儿及青少年英语教学中的融入】系列网络研讨会精彩回放！研讨会第一场：Using picturebook video read-alouds in primary ELT在小学英语教学中，绘本创作者的在线朗读视频这一教学资源并未得到充分利用。本场研讨会介绍了一套标准，帮助教师挑选出高质量的绘本朗读异步视频。其中包括对不同视频制作方法的总结分析，以及对小学英语教学的适用性分析； 除此以外，还展示了一套围绕绘本设计线上教学材料的实用性框架。  英国大使馆文化教育处英语教学的微博视频                                 ,无,无,2021-07-28 21:10,微博视频号,0,0,0
